extrema_type,extrema_value,time,thrust,acceleration,dynamic_pressure,angle_of_attack_gust,angle_of_attack_total,true_velocity,altitude,temperature,pressure,latitude,longitude,lat_m,long_m,range_m,landing_range
initial_point,3.000000,0.000000,2.282812,0.000000,0.000000,90.000000,0.000000,0.000000,3.000000,14.980500,1012.889649,31.222216,131.010392,0.000000,0.000000,0.000000,-1285779.124571
launch_clear,7.737919,0.540000,349.270324,28.396510,215.200674,26.061836,4.831497,18.751169,7.737919,14.949704,1012.320756,31.222206,131.010412,-1.079133,1.902691,2.187410,-1285778.861239
max_speed,54.040247,2.490000,76.093749,8.430926,1775.929827,9.335433,0.603504,54.040247,74.731385,14.514246,1004.304351,31.222040,131.010795,-19.545083,38.388410,43.077640,-1285772.021146
max_dynamic_pressure,1775.929827,2.490000,76.093749,8.430926,1775.929827,9.335433,0.603504,54.040247,74.731385,14.514246,1004.304351,31.222040,131.010795,-19.545083,38.388410,43.077640,-1285772.021146
max_acceleration,240.977089,19.470000,0.000000,240.977089,128.553356,30.080690,1.968773,14.487842,0.805510,14.994764,1013.153234,31.220906,131.013134,-145.280349,261.243873,298.924209,-1285740.675730
max_qbar_atan_aoa,1046543.204177,2.780000,35.003127,5.231360,1750.485278,10.434606,1.454412,53.683595,87.082151,14.433966,1002.832092,31.222003,131.010885,-23.634516,46.991699,52.600524,-1285770.195467
max_altitude,179.865713,7.120000,0.000000,1.818040,665.806948,15.619560,0.633451,33.256500,179.865713,13.830873,991.827720,31.221435,131.012279,-86.557145,179.769881,199.523470,-1285741.872416
final_point,0.021454,19.620000,0.000000,12.782063,3.421686,86.485327,11.614119,2.363555,0.021454,14.999861,1013.247423,31.220905,131.013133,-145.387910,261.196278,298.934913,-1285740.790521
parachute_deploy,1.000000,10.180000,0.000000,6.676920,222.769215,24.614339,1.366931,19.204705,145.342652,14.055273,995.910763,31.221107,131.013045,-122.912892,252.765737,281.067327,-1285727.725702
max_thrust,855.293775,0.070000,855.293775,81.251004,2.700102,76.901120,4.115662,2.099900,3.034594,14.980275,1012.885495,31.222216,131.010392,-0.007891,0.013913,0.015995,-1285779.122645
initial_point,3.000000,0.000000,2.282812,0.000000,0.000000,90.000000,0.000000,0.000000,3.000000,14.980500,1012.889649,31.222216,131.010392,0.000000,0.000000,0.000000,-1285779.124571
launch_clear,7.737919,0.540000,349.270324,28.396510,215.200674,26.061836,4.831497,18.751169,7.737919,14.949704,1012.320756,31.222206,131.010412,-1.079133,1.902691,2.187410,-1285778.861239
max_speed,54.288788,2.490000,76.093749,11.963892,1792.333979,9.201416,0.587398,54.288788,74.551861,14.515413,1004.325764,31.222056,131.010805,-17.792440,39.318004,43.156448,-1285770.059188
max_dynamic_pressure,1792.333979,2.490000,76.093749,11.963892,1792.333979,9.201416,0.587398,54.288788,74.551861,14.515413,1004.325764,31.222056,131.010805,-17.792440,39.318004,43.156448,-1285770.059188
max_acceleration,218.268492,19.370000,0.000000,218.268492,100.866915,31.192663,4.621707,12.833200,0.738028,14.995203,1013.161341,31.220949,131.013133,-140.442598,261.158072,296.527522,-1285736.836008
